mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio
1.93437412,1,1.0,6,0.499975397,74,0.0216159507,5,0.735194255,56,0.0323427717,128.314801,30,120,0.594474
2.32579907,1,1.0,6,0.499975397,83,0.0626429724,5,0.302727046,-1,-1,216.228081,30,120,0.568152
2.1054074,1,1.0,6,0.499975397,51,0.0518422508,29,0.0698963403,5,0.51896065,137.181596,120,120,0.451363
2.70446709,1,1.0,6,0.499975397,83,0.0391518578,74,0.044503428,-1,-1,286.586102,120,120,0.217795
2.5343105,1,1.0,6,0.499982168,51,0.115206338,29,0.0717365496,5,0.875756253,165.710608,120,120,0.368058
3.18159536,1,1.0,6,0.499982168,83,0.0335591244,51,0.0288015845,50,0.147695767,308.536958,90,120,0.235873
1.79022736,1,1.0,6,0.499982168,74,0.0286096783,5,0.486531252,-1,-1,115.741012,90,120,0.508822
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,90,120,0.0255867
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,30,120,0.0639924
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,120,120,0.226559
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,60,120,0.337718
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,30,120,0.629319
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,90,120,0.208243
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,120,120,0.626014
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,30,120,0.456027
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,90,120,0.0861169
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,120,120,0.000196966
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,60,120,0.0108586
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,60,120,0.62771
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,120,120,0.00702749
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,60,120,0.0466317
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,90,120,0.00165213
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,90,120,0.624382
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,120,120,0.0708139
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,60,120,0.165128
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,30,120,0.330534
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,30,120,0.156417
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,90,120,0.0175539
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,90,120,0.0968754
