mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio,sigma
2.48024314,1,1.0,6,0.499982168,29,0.209691453,5,0.81088542,56,0.0434079076,158.060315,60,120,0.543716,0.011
2.53733669,1,1.0,6,0.499975397,83,0.0592870989,51,0.0134405835,50,0.0196925406,275.570854,90,120,0.281676,0.016
2.47191203,1,1.0,6,0.499975397,51,0.0364815839,50,0.0256003028,29,0.139792681,194.248209,30,120,0.598649,0.012
3.19051058,1,1.0,6,0.499982168,74,0.0324243021,51,0.181449982,-1,-1,298.669997,30,120,0.500087,0.022
2.34519801,1,1.0,6,0.499975397,51,0.0499221675,29,0.114041397,56,0.0221292649,198.186272,90,120,0.401592,0.02
2.04977333,1,1.0,6,0.499982168,74,0.017165807,50,0.0620322223,-1,-1,185.084303,120,120,0.318812,0.017
2.42174088,1,1.0,6,0.499975397,51,0.021120917,50,0.11618599,-1,-1,220.973172,30,120,0.604249,0.016
2.40641658,1,1.0,6,0.499975397,51,0.0614426677,50,0.0748316543,-1,-1,220.705588,120,120,0.291848,0.017
3.62017884,1,1.0,6,0.499982168,83,0.0805418986,74,0.0610339805,-1,-1,392.033024,120,120,0.136173,0.013
2.04823957,1,1.0,6,0.499982168,83,0.0260083214,50,0.0177234921,29,0.0469046671,187.044466,120,120,0.351923,0.019
2.6356294,1,1.0,6,0.499982168,51,0.126726972,50,0.0472626456,5,0.648708336,195.89073,30,120,0.602818,0.023
2.67989763,1,1.0,6,0.499982168,83,0.0167795622,50,0.144741852,5,0.681143753,200.942771,90,120,0.346043,0.02
2.72711948,1,1.0,6,0.499982168,51,0.175689665,5,0.291918751,56,0.0255340633,238.511637,90,120,0.329404,0.018
2.35922119,1,1.0,6,0.499982168,74,0.0228877427,5,0.356789585,56,0.145544161,238.098636,60,120,0.454323,0.022
2.10223728,1,1.0,6,0.499982168,74,0.0200267748,29,0.107604824,-1,-1,164.975337,30,120,0.583259,0.023
3.32271538,1,1.0,6,0.499982168,83,0.098999417,51,0.0316817429,50,0.0295391535,367.741595,120,120,0.159309,0.013
2.56648575,1,1.0,6,0.499982168,51,0.103685704,56,0.112349878,-1,-1,281.074847,60,120,0.42349,0.021
3.01943558,1,1.0,6,0.499982168,29,0.36971914,5,0.227047918,56,0.015320438,196.716465,30,120,0.609104,0.018
3.28738302,1,1.0,6,0.499982168,83,0.083897811,51,0.0345619014,50,0.0531704763,352.891043,60,120,0.301102,0.018
1.83905305,1,1.0,6,0.499982168,83,0.0234913871,51,0.0201611091,5,0.291918751,143.622544,90,120,0.468506,0.02
1.79238347,1,1.0,6,0.499982168,51,0.0504027728,5,0.178394792,56,0.0178738443,144.834074,90,120,0.492277,0.015
2.03878801,1,1.0,6,0.499982168,83,0.015101606,74,0.0114438713,51,0.0432023767,194.583673,60,120,0.456682,0.022
2.0759824,1,1.0,6,0.499982168,74,0.0104902154,29,0.135195805,-1,-1,155.551228,120,120,0.471498,0.021
2.70616264,1,1.0,6,0.499975397,74,0.0648478522,51,0.0192008336,50,0.0177232866,260.060926,120,120,0.21746,0.016
1.73286489,1,1.0,6,0.499982168,51,0.0158408715,56,0.062558455,-1,-1,173.328353,60,120,0.565694,0.023
2.56465419,1,1.0,6,0.499975397,83,0.0190166166,74,0.0292451098,51,0.0576025009,254.779166,60,120,0.373681,0.019
1.90806669,1,1.0,6,0.499982168,83,0.0310421901,51,0.0158408715,5,0.194612501,164.508665,60,120,0.510487,0.021
2.05990896,1,1.0,6,0.499982168,83,0.0243303652,29,0.0855320399,-1,-1,177.44816,120,120,0.370001,0.018
3.38997297,1,1.0,6,0.499982168,83,0.0889316797,29,0.148991295,-1,-1,321.321383,90,120,0.258799,0.017
2.29755693,1,1.0,6,0.499975397,50,0.106339719,56,0.0272360183,-1,-1,220.494502,60,120,0.467289,0.021
1.88845748,1,1.0,6,0.499982168,29,0.126918511,5,0.227047918,-1,-1,121.407656,120,120,0.558251,0.023
3.11072912,1,1.0,6,0.499982168,51,0.0345619014,50,0.200866244,-1,-1,282.743883,90,120,0.285968,0.012
