mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0
2.03774387,1,1.0,6,0.499982168,74,0.017165807,51,0.0331218221,50,0.0280621958,184.80851
3.82937799,1,1.0,6,0.499982168,83,0.030203212,74,0.118253337,-1,-1,379.803288
2.84743449,1,1.0,6,0.499982168,51,0.0979253872,50,0.106340953,5,0.324354168,234.908257
2.11549702,1,1.0,6,0.499975397,74,0.0457749545,5,0.735194255,-1,-1,136.32863
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621
1.91747619,1,1.0,6,0.499982168,83,0.0310421901,51,0.0172809507,5,0.178394792,167.336896
1.82745295,1,1.0,6,0.499982168,51,0.0604833274,5,0.162177084,56,0.0102136253,147.457912
2.05961469,1,1.0,6,0.499975397,29,0.143471435,5,0.670324173,-1,-1,115.543226
3.52150706,1,1.0,6,0.499982168,74,0.051497421,29,0.292464395,-1,-1,254.131161
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373
2.01102616,1,1.0,6,0.499982168,83,0.0142626279,50,0.06350918,-1,-1,187.314416
3.0465164,1,1.0,6,0.499982168,29,0.375237336,5,0.194612501,56,0.015320438,199.479314
2.38031293,1,0.734059438,6,0.367016629,83,0.0468053448,5,1.0,-1,-1,154.479068
3.11254026,1,1.0,6,0.499982168,51,0.132487289,50,0.0472626456,29,0.0993275302,263.930915
3.3202852,1,1.0,6,0.499982168,83,0.0973214608,51,0.0288015845,50,0.0354469842,366.06801
2.05961469,1,1.0,6,0.499975397,29,0.143471435,5,0.670324173,-1,-1,115.543226
3.40819663,1,1.0,6,0.499982168,83,0.115778979,29,0.0607001574,-1,-1,368.133784
3.03350146,1,1.0,6,0.499982168,29,0.386273729,5,0.324354168,-1,-1,185.24456
2.57322269,1,1.0,6,0.499982168,51,0.149768239,5,0.551402085,56,0.0280874696,206.202475
1.73701083,1,1.0,6,0.499982168,50,0.0162465344,56,0.062558455,-1,-1,173.458792
3.3518875,1,1.0,6,0.499982168,83,0.0318811682,29,0.336609964,-1,-1,245.111518
1.89610965,1,1.0,6,0.499982168,51,0.0619234066,50,0.0147695767,5,0.113523959,155.413535
2.00759418,1,1.0,6,0.499982168,74,0.0429145175,5,0.145959376,56,0.00766021898,171.583206
2.51931142,1,1.0,6,0.499975397,83,0.0145421186,50,0.031508065,29,0.150828945,202.542103
1.91849862,1,1.0,6,0.499982168,51,0.0720039612,50,0.00295391535,56,0.0102136253,174.565768
1.81034507,1,1.0,6,0.499982168,83,0.0310421901,5,0.373007293,-1,-1,136.660026
1.84031759,1,1.0,6,0.499975397,51,0.0307213338,5,0.886557778,56,0.0221292649,108.853707
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799
2.07,1,1.0,6,0.499982168,83,0.0503386866,-1,-1,-1,-1,222.058274
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957
2.07,1,1.0,6,0.499982168,83,0.0503386866,-1,-1,-1,-1,222.058274
2.07,1,1.0,6,0.499982168,83,0.0503386866,-1,-1,-1,-1,222.058274
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506
2.07,1,1.0,6,0.499982168,83,0.0503386866,-1,-1,-1,-1,222.058274
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515
2.0307799,1,1.0,6,0.499982168,83,0.0260083214,50,0.0428317725,-1,-1,197.822719
1.89610965,1,1.0,6,0.499982168,51,0.0619234066,50,0.0147695767,5,0.113523959,155.413535
2.58078176,1,1.0,6,0.499975397,83,0.0525753519,74,0.0139867917,51,0.0230410004,278.470233
1.80650271,1,1.0,6,0.499982168,51,0.0360019806,29,0.044145569,5,0.30813646,121.678201
2.00416754,1,1.0,6,0.499982168,74,0.0114438713,51,0.0691238027,-1,-1,181.239609
2.31070765,1,1.0,6,0.499975397,51,0.107524668,29,0.029430038,5,0.129740163,192.921775
2.22383672,1,1.0,6,0.499975397,51,0.0883238348,50,0.0236310487,5,0.259480325,178.526293
1.73701083,1,1.0,6,0.499982168,50,0.0162465344,56,0.062558455,-1,-1,173.458792
2.00131109,1,1.0,6,0.499982168,83,0.0117456935,51,0.0158408715,50,0.0516935186,185.02293
2.27174228,1,1.0,6,0.499975397,83,0.0469822293,50,0.0236310487,5,0.345973767,197.092606
1.9199246,1,1.0,6,0.499982168,51,0.0590432482,29,0.0248318826,56,0.0127670316,169.650713
3.36130242,1,1.0,6,0.499982168,83,0.115778979,51,0.0316817429,-1,-1,385.145913
2.06242184,1,1.0,6,0.499982168,83,0.0293642339,29,0.0689774516,-1,-1,185.072777
2.11331615,1,1.0,6,0.499975397,51,0.0595225843,56,0.0663877946,-1,-1,219.199049
2.09457883,1,1.0,6,0.499982168,83,0.0192964965,74,0.0219340867,51,0.0201611091,205.419576
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373
2.28307162,1,1.0,6,0.499975397,50,0.0905856868,29,0.0478238118,5,0.237856965,174.651994
1.93016611,1,1.0,6,0.499982168,51,0.0216011884,29,0.0855320399,56,0.0178738443,158.533307
2.92261848,1,1.0,6,0.499982168,51,0.164169031,29,0.0607001574,56,0.0306408759,270.330784
2.11937998,1,0.522550786,6,0.261266075,83,0.0184131642,5,1.0,-1,-1,107.914512
2.20028051,1,1.0,6,0.499975397,29,0.165543964,5,0.302727046,56,0.0187247626,149.703239
2.16015803,1,1.0,6,0.499975397,51,0.042241834,29,0.0478238118,56,0.05957879,209.781092
2.36305613,1,0.770762409,6,0.38536746,51,0.0310788501,29,0.110583672,5,1.0,127.500729
1.70692483,1,1.0,6,0.499982168,83,0.0218134309,5,0.551402085,-1,-1,109.495161
1.76296775,1,1.0,6,0.499982168,51,0.0547230105,5,0.356789585,-1,-1,121.165473
2.02164417,1,1.0,6,0.499982168,74,0.00953655945,50,0.0738478837,-1,-1,180.736679
1.65153039,1,1.0,6,0.499982168,29,0.0386273729,5,0.50274896,56,0.0191505475,100.508972
3.28228366,1,1.0,6,0.499982168,74,0.0495901091,51,0.155528556,-1,-1,308.07404
2.00661872,1,1.0,6,0.499982168,83,0.0167795622,51,0.0244813468,50,0.0339700265,189.300206
2.17585142,1,1.0,6,0.499975397,51,0.0960041682,5,0.216233604,56,0.0170225114,184.403107
2.14422398,1,1.0,6,0.499975397,51,0.0864037514,5,0.216233604,56,0.0255337672,184.255928
2.82395415,1,1.0,6,0.499982168,51,0.120966655,29,0.137954903,5,0.421660418,203.729349
2.61895999,1,1.0,6,0.499975397,83,0.0659988459,74,0.0139867917,-1,-1,293.441457
3.05584152,1,1.0,6,0.499982168,51,0.190090458,50,0.0295391535,29,0.0220727845,277.793484
1.7943627,1,1.0,6,0.499982168,50,0.0428317725,29,0.0275909806,5,0.340571876,120.063778
2.51411357,1,1.0,6,0.499975397,83,0.0503381028,51,0.0268811671,50,0.0216617947,266.243839
3.18028191,1,1.0,6,0.499982168,83,0.0268472995,50,0.189050582,-1,-1,303.28948
2.71890888,1,1.0,6,0.499975397,74,0.0559471666,29,0.0956476236,-1,-1,231.777208
3.37470057,1,1.0,6,0.499982168,83,0.104033286,50,0.0265852381,29,0.0496637651,359.471908
2.06662363,1,1.0,6,0.499982168,83,0.037754015,29,0.0413864709,-1,-1,198.79299
2.32678033,1,1.0,6,0.499975397,51,0.0940840848,29,0.0404663023,56,0.0170225114,211.879334
2.03878801,1,1.0,6,0.499982168,83,0.015101606,74,0.0114438713,51,0.0432023767,194.583673
1.72816211,1,1.0,6,0.499982168,50,0.0472626456,5,0.454095835,-1,-1,110.223748
2.67989763,1,1.0,6,0.499982168,83,0.0167795622,50,0.144741852,5,0.681143753,200.942771
2.26488918,1,0.642302008,6,0.32113955,29,0.11341915,5,1.0,-1,-1,109.7288
3.78619933,1,1.0,6,0.499982168,74,0.127789897,51,0.0230412676,50,0.0147695767,355.806982
3.08393031,1,1.0,6,0.499982168,51,0.161288873,50,0.0384008995,29,0.0607001574,270.732372
1.7943627,1,1.0,6,0.499982168,50,0.0428317725,29,0.0275909806,5,0.340571876,120.063778
2.05865482,1,1.0,6,0.499982168,83,0.0218134309,29,0.0938093341,-1,-1,173.794492
1.73701083,1,1.0,6,0.499982168,50,0.0162465344,56,0.062558455,-1,-1,173.458792
1.68427195,1,1.0,6,0.499982168,83,0.00922875921,50,0.0206774074,5,0.567619794,102.248752
2.18067063,1,0.616609928,6,0.308293968,51,0.0532780287,5,1.0,-1,-1,116.120491
2.02191672,1,0.481726506,6,0.240854663,51,0.0221991786,5,1.0,-1,-1,91.9156652
2.00416754,1,1.0,6,0.499982168,74,0.0114438713,51,0.0691238027,-1,-1,181.239609
1.79022736,1,1.0,6,0.499982168,74,0.0286096783,5,0.486531252,-1,-1,115.741012
2.84411506,1,1.0,6,0.499982168,29,0.320055375,5,0.356789585,56,0.0280874696,188.921438
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373
2.01102616,1,1.0,6,0.499982168,83,0.0142626279,50,0.06350918,-1,-1,187.314416
2.26894802,1,1.0,6,0.499975397,51,0.0614426677,50,0.0413543353,56,0.0289382694,220.046212
2.04823957,1,1.0,6,0.499982168,83,0.0260083214,50,0.0177234921,29,0.0469046671,187.044466
2.17978591,1,1.0,6,0.499982168,83,0.0109067154,74,0.0448218294,-1,-1,212.705721
2.23908814,1,1.0,6,0.499975397,50,0.112247481,5,0.281103686,-1,-1,175.997231
2.42879538,1,1.0,6,0.499975397,51,0.0595225843,50,0.0472620975,29,0.0551813213,209.61918
1.89610965,1,1.0,6,0.499982168,51,0.0619234066,50,0.0147695767,5,0.113523959,155.413535
2.10589666,1,1.0,6,0.499982168,83,0.037754015,74,0.0143048392,-1,-1,219.018591
3.32705431,1,1.0,6,0.499982168,83,0.0738300737,50,0.0561243916,29,0.0938093341,321.124331
2.26640575,1,1.0,6,0.499975397,83,0.0436263558,50,0.0295388109,5,0.345973767,194.73505
2.01937071,1,1.0,6,0.499982168,74,0.0114438713,51,0.025921426,50,0.0443087302,181.597067
3.80061418,1,1.0,6,0.499982168,74,0.127789897,50,0.0384008995,-1,-1,355.910012
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373
2.94481372,1,1.0,6,0.499982168,51,0.184330141,29,0.0386273729,56,0.0229806569,274.418751
2.03201548,1,1.0,6,0.499982168,83,0.0117456935,50,0.0310161112,29,0.0689774516,170.915285
2.49367395,1,1.0,6,0.499975397,83,0.0458636048,51,0.0556824176,-1,-1,261.573923
2.13458606,1,1.0,6,0.499975397,51,0.0326414172,50,0.031508065,56,0.0629832923,219.457705
2.90735477,1,1.0,6,0.499982168,51,0.0748841196,50,0.118156614,56,0.0357476886,282.132074
2.16419546,1,1.0,6,0.499975397,74,0.049589534,5,0.670324173,-1,-1,144.76868
1.88812432,1,1.0,6,0.499982168,51,0.0662436443,56,0.0178738443,-1,-1,174.365507
2.02439184,1,1.0,6,0.499975397,74,0.0381457954,5,0.864934417,-1,-1,121.060573
2.47269891,1,1.0,6,0.499975397,51,0.0307213338,50,0.033477319,29,0.136113926,194.924311
3.3596585,1,1.0,6,0.499982168,83,0.0436268617,29,0.297982591,-1,-1,258.66418
2.56189543,1,1.0,6,0.499975397,74,0.0317881629,50,0.0886164328,-1,-1,239.274705
2.46667187,1,1.0,6,0.499982168,51,0.12960713,5,0.746014586,56,0.0306408759,185.129832
2.34772498,1,1.0,6,0.499975397,29,0.213367776,5,0.194610244,56,0.00510675343,156.700167
2.52638126,1,1.0,6,0.499975397,83,0.0234911147,74,0.0190728977,51,0.0652828344,252.406151
1.95240601,1,1.0,6,0.499982168,29,0.135195805,5,0.0648708336,56,0.00893692215,141.079137
1.92080357,1,1.0,6,0.499975397,51,0.0595225843,5,0.843311057,-1,-1,112.90917
2.52998147,1,1.0,6,0.499975397,83,0.0447449803,50,0.0393850812,29,0.0367875475,251.510312
2.01026236,1,1.0,6,0.499975397,50,0.0236310487,56,0.0987305663,-1,-1,218.851188
2.31603824,1,1.0,6,0.499975397,51,0.113284918,29,0.00735750951,56,0.0153202603,218.483788
2.02791247,1,1.0,6,0.499982168,74,0.017165807,51,0.0604833274,-1,-1,184.580529
2.54746871,1,1.0,6,0.499975397,83,0.0615243479,50,0.0295388109,-1,-1,278.034351
1.87385505,1,1.0,6,0.499982168,51,0.0273615052,29,0.0772547457,5,0.210830209,129.661833
